Configuración,Tipo,Filas,Mínimo,Máximo,Media,Mediana,Desviación Estándar,Percentil 25,Percentil 75
B2C,BiC,500,42.20150647858772,80.81073413608534,51.83605025996126,50.81638806796521,7.326801819908523,45.73556615411045,56.22868935009047
W2C,WiC,500,0.0,42.17953219121715,33.0957210259391,34.59160935542686,7.17031267029351,29.101288040229246,38.825579910924446
B4C,BiC,250,50.85213899439738,80.81073413608534,57.58451535448882,56.2355094887274,5.917810993030377,52.909248978866806,60.07854970805079
W4C,WiC,250,0.0,34.589817962755205,27.539477049393003,29.083111615207127,6.0343381188427365,24.56845486329307,31.982430844474568
B8C,BiC,125,56.24914976600127,80.81073413608534,61.976204534235265,60.126493273006986,5.388634525327721,57.76521008057552,64.23850966699018
W8C,WiC,125,0.0,29.04675876516289,23.07526201797369,24.564550373679985,5.495218759147107,21.22418992157888,26.64626019830683
B16C,BiC,62,60.143706458572936,80.81073413608534,66.03788525138674,64.38052097068318,4.969671617504624,62.377498587538504,68.34304533682509
W16C,WiC,62,0.0,24.40507751377352,19.21705334342997,21.10454878064821,5.411571606236987,17.37906092908828,23.059097082509066
