desde,hacia,peso,distancia,direccion
x_11,x_10,0.8640349187189873,0.1359650812810127,x_11 → x_10
x_11,x_12,0.8125458023730783,0.18745419762692173,x_11 → x_12
x_21,x_20,0.8173825161647778,0.18261748383522225,x_21 → x_20
x_21,x_22,0.8536007020785494,0.14639929792145057,x_21 → x_22
x_39,x_37,0.7238113365555733,0.2761886634444267,x_39 → x_37
x_39,x_38,0.7821418055407732,0.21785819445922683,x_39 → x_38
target_y,x_11,0.7801681743997132,0.2198318256002868,target_y → x_11
target_y,x_21,0.7595416077454709,0.24045839225452914,target_y → x_21
target_y,x_39,0.8638551868465472,0.13614481315345284,target_y → x_39
